image_id,original,angel,object,rating
0,https://s3.amazonaws.com/deepangelai/results/person/29f82b86-dba5-4a15-9d47-3ce2d8ce6ef2/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/29f82b86-dba5-4a15-9d47-3ce2d8ce6ef2/box/_100.jpg,person,9
1,https://s3.amazonaws.com/deepangelai/results/bicycle/b1fbfb0c-8328-4858-9713-9afd6727b0b6/original.jpg,https://s3.amazonaws.com/deepangelai/results/bicycle/b1fbfb0c-8328-4858-9713-9afd6727b0b6/box/_100.jpg,bicycle,9
2,https://s3.amazonaws.com/deepangelai/results/dog/49eb7b79-7fb7-4778-8735-c54910992ef2/original.jpg,https://s3.amazonaws.com/deepangelai/results/dog/49eb7b79-7fb7-4778-8735-c54910992ef2/box/_100.jpg,dog,3
3,https://s3.amazonaws.com/deepangelai/results/person/72522cf7-a59a-47e7-aaef-2f51cd6ba554/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/72522cf7-a59a-47e7-aaef-2f51cd6ba554/box/_100.jpg,person,1
4,https://s3.amazonaws.com/deepangelai/results/bowl/a5fda912-32fe-49e7-88d2-d2f26036abbc/original.jpg,https://s3.amazonaws.com/deepangelai/results/bowl/a5fda912-32fe-49e7-88d2-d2f26036abbc/box/_100.jpg,bowl,9
5,https://s3.amazonaws.com/deepangelai/results/knife/a30bc813-247a-4e2b-87ff-d62045e4cba8/original.jpg,https://s3.amazonaws.com/deepangelai/results/knife/a30bc813-247a-4e2b-87ff-d62045e4cba8/box/_100.jpg,knife,9
6,https://s3.amazonaws.com/deepangelai/results/person/450e7ddf-66f9-46e2-acab-7f95cef83fdf/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/450e7ddf-66f9-46e2-acab-7f95cef83fdf/box/_100.jpg,person,1
7,https://s3.amazonaws.com/deepangelai/results/car/70574768-53dd-4ff1-b870-d06b9d2b1053/original.jpg,https://s3.amazonaws.com/deepangelai/results/car/70574768-53dd-4ff1-b870-d06b9d2b1053/box/_100.jpg,car,2
8,https://s3.amazonaws.com/deepangelai/results/person/c655d743-6ebb-47eb-a5fc-2d3f9971dc72/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/c655d743-6ebb-47eb-a5fc-2d3f9971dc72/box/_100.jpg,person,3
9,https://s3.amazonaws.com/deepangelai/results/bicycle/029c68eb-84e6-4b8e-9e13-a044f12ba9fa/original.jpg,https://s3.amazonaws.com/deepangelai/results/bicycle/029c68eb-84e6-4b8e-9e13-a044f12ba9fa/box/_100.jpg,bicycle,9
10,https://s3.amazonaws.com/deepangelai/results/bird/16f14dde-ed79-4e6e-8ba9-4039a775e8b6/original.jpg,https://s3.amazonaws.com/deepangelai/results/bird/16f14dde-ed79-4e6e-8ba9-4039a775e8b6/box/_100.jpg,bird,1
11,https://s3.amazonaws.com/deepangelai/results/cat/fabac973-6e7d-42cc-9653-13814f46235c/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/fabac973-6e7d-42cc-9653-13814f46235c/box/_100.jpg,cat,4
12,https://s3.amazonaws.com/deepangelai/results/person/01f2a48d-983e-487c-b3c4-3bbc407b6ccb/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/01f2a48d-983e-487c-b3c4-3bbc407b6ccb/box/_100.jpg,person,3
13,https://s3.amazonaws.com/deepangelai/results/fork/47603947-934a-4b53-9949-b5b835179c7f/original.jpg,https://s3.amazonaws.com/deepangelai/results/fork/47603947-934a-4b53-9949-b5b835179c7f/box/_100.jpg,fork,1
14,https://s3.amazonaws.com/deepangelai/results/cat/99404580-76c0-475e-ac59-d9cab42b1550/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/99404580-76c0-475e-ac59-d9cab42b1550/box/_100.jpg,cat,9
15,https://s3.amazonaws.com/deepangelai/results/bird/4c980df7-f779-4788-a8a1-8129875d0986/original.jpg,https://s3.amazonaws.com/deepangelai/results/bird/4c980df7-f779-4788-a8a1-8129875d0986/box/_100.jpg,bird,2
16,https://s3.amazonaws.com/deepangelai/results/knife/78586b9b-0108-4ca8-9c3c-901d0b52a427/original.jpg,https://s3.amazonaws.com/deepangelai/results/knife/78586b9b-0108-4ca8-9c3c-901d0b52a427/box/_100.jpg,knife,9
17,https://s3.amazonaws.com/deepangelai/results/airplane/92fc13c1-6831-4a99-aed6-b9a8ff02fa03/original.jpg,https://s3.amazonaws.com/deepangelai/results/airplane/92fc13c1-6831-4a99-aed6-b9a8ff02fa03/box/_100.jpg,airplane,1
18,https://s3.amazonaws.com/deepangelai/results/clock/9c7fb532-774d-4bca-85d6-a38e2d69d5c5/original.jpg,https://s3.amazonaws.com/deepangelai/results/clock/9c7fb532-774d-4bca-85d6-a38e2d69d5c5/box/_100.jpg,clock,9
19,https://s3.amazonaws.com/deepangelai/results/person/cc10cf10-3e28-44ac-9bfa-0c481a2a2030/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/cc10cf10-3e28-44ac-9bfa-0c481a2a2030/box/_100.jpg,person,2
20,https://s3.amazonaws.com/deepangelai/results/airplane/7fbbd5ea-6f58-4a3b-873f-6727db3bbd75/original.jpg,https://s3.amazonaws.com/deepangelai/results/airplane/7fbbd5ea-6f58-4a3b-873f-6727db3bbd75/box/_100.jpg,airplane,1
21,https://s3.amazonaws.com/deepangelai/results/car/ad11e737-338c-42b7-b6fd-8f2805c10242/original.jpg,https://s3.amazonaws.com/deepangelai/results/car/ad11e737-338c-42b7-b6fd-8f2805c10242/box/_100.jpg,car,2
22,https://s3.amazonaws.com/deepangelai/results/horse/d85286ba-429f-4394-822f-eca0b79a1c27/original.jpg,https://s3.amazonaws.com/deepangelai/results/horse/d85286ba-429f-4394-822f-eca0b79a1c27/box/_100.jpg,horse,9
23,https://s3.amazonaws.com/deepangelai/results/surfboard/d6d4d041-2411-4b6c-940a-ff6f4cd66732/original.jpg,https://s3.amazonaws.com/deepangelai/results/surfboard/d6d4d041-2411-4b6c-940a-ff6f4cd66732/box/_100.jpg,surfboard,9
24,https://s3.amazonaws.com/deepangelai/results/person/d8588914-f528-4eaf-a919-386bf90937fe/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/d8588914-f528-4eaf-a919-386bf90937fe/box/_100.jpg,person,4
25,https://s3.amazonaws.com/deepangelai/results/person/3fa28e92-861e-42e0-b39a-4101c112e739/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/3fa28e92-861e-42e0-b39a-4101c112e739/box/_100.jpg,person,4
26,https://s3.amazonaws.com/deepangelai/results/person/709eae4d-0992-4c0e-a326-7522e629669a/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/709eae4d-0992-4c0e-a326-7522e629669a/box/_100.jpg,person,5
27,https://s3.amazonaws.com/deepangelai/results/cell%20phone/683e7cae-6e62-4de3-8cb1-8ca6887aa411/original.jpg,https://s3.amazonaws.com/deepangelai/results/cell%20phone/683e7cae-6e62-4de3-8cb1-8ca6887aa411/box/_100.jpg,cell%20phone,2
